id,name,link
1,,/anime/aniwards-2023-2ovw4
2,AniWards 2023,/anime/aniwards-2023-2ovw4
3,,/anime/9anime-anime-awards-2022-02x03
4,9anime Anime Awards 2022,/anime/9anime-anime-awards-2022-02x03
5,,/anime/9anime-anime-awards-2021-yq8wp
6,9anime Anime Awards 2021,/anime/9anime-anime-awards-2021-yq8wp
7,,/anime/paripi-koumei-road-to-summer-sonia-m2o6z
8,Ya Boy Kongming! Road to Summer Sonia,/anime/paripi-koumei-road-to-summer-sonia-m2o6z
9,,/anime/rakudai-majo-1n7rw
10,Rakudai Majo: Fuuka to Yami no Majo,/anime/rakudai-majo-1n7rw
11,,/anime/kurayukaba-jvzp4
12,Kurayukaba,/anime/kurayukaba-jvzp4
13,,/anime/kuramerukagari-vvy04
14,Kuramerukagari,/anime/kuramerukagari-vvy04
15,,/anime/oomuro-ke-7j168
16,Oomuro-ke: dear sisters,/anime/oomuro-ke-7j168
17,,/anime/xiong-chumo-xue-ling-xiong-feng-prw16
18,Boonie Bears: Mystical Winter,/anime/xiong-chumo-xue-ling-xiong-feng-prw16
19,,/anime/genbanojou-2ov94
20,Genbanojo,/anime/genbanojou-2ov94
21,,/anime/meitantei-conan-vs-kaitou-kid-pr45q
22,Detective Conan vs. Kid the Phantom Thief,/anime/meitantei-conan-vs-kaitou-kid-pr45q
23,,/anime/atashinchi-movie-1nvnv
24,Atashin'chi Movie,/anime/atashinchi-movie-1nvnv
25,,/anime/kennedy-knights-pilot-52v2m
26,Kennedy Knights pilot,/anime/kennedy-knights-pilot-52v2m
27,,/anime/bakeneko-dance-yq8qj
28,The Magical Cat Dance,/anime/bakeneko-dance-yq8qj
29,,/anime/kokoro-no-chikara-qxvl5
30,Will Power,/anime/kokoro-no-chikara-qxvl5
31,,/anime/byoudoku-no-denpa-ojv9z
32,Diseases Spread,/anime/byoudoku-no-denpa-ojv9z
33,,/anime/juu-nin-no-chiisa-na-indian-pr8k9
34,Ten Little Indians,/anime/juu-nin-no-chiisa-na-indian-pr8k9
35,,/anime/sarasoujuu-no-hana-no-iro-jvzny
36,Spotlight,/anime/sarasoujuu-no-hana-no-iro-jvzny
37,,/anime/tarzan-6lj94
38,Tarzan,/anime/tarzan-6lj94
39,,/anime/guitar-80lkq
40,Guitar,/anime/guitar-80lkq
41,,/anime/ficfyon7-9omln
42,Ficfyon7,/anime/ficfyon7-9omln
43,,/anime/chanda-gou-7jkm8
44,M.S. Chanda,/anime/chanda-gou-7jkm8
45,,/anime/tai-no-hane-6lx24
46,Pair of feather,/anime/tai-no-hane-6lx24
47,,/anime/yangguang-shai-pigu-7jx48
48,The Moring Sun,/anime/yangguang-shai-pigu-7jx48
49,,/anime/shan-gaogao-9oy8n
50,Mountain Nocturne,/anime/shan-gaogao-9oy8n
51,,/anime/sewing-love-80y6q
52,Sewing Love,/anime/sewing-love-80y6q
53,,/anime/kumi-to-tulip-qxq45
54,Kumi to Tulip,/anime/kumi-to-tulip-qxq45
55,,/anime/kacchikenee-pr499
56,Kacchikenee!,/anime/kacchikenee-pr499
57,,/anime/aniwards-2023-2ovw4
58,AniWards 2023,/anime/aniwards-2023-2ovw4
59,,/anime/9anime-anime-awards-2022-02x03
60,9anime Anime Awards 2022,/anime/9anime-anime-awards-2022-02x03
61,,/anime/9anime-anime-awards-2021-yq8wp
62,9anime Anime Awards 2021,/anime/9anime-anime-awards-2021-yq8wp
63,,/anime/paripi-koumei-road-to-summer-sonia-m2o6z
64,Ya Boy Kongming! Road to Summer Sonia,/anime/paripi-koumei-road-to-summer-sonia-m2o6z
65,,/anime/rakudai-majo-1n7rw
66,Rakudai Majo: Fuuka to Yami no Majo,/anime/rakudai-majo-1n7rw
67,,/anime/kurayukaba-jvzp4
